GENOME1	GENOME2	ANI(1->2)	ANI(2->1)	AF(1->2)	AF(2->1)
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.105.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.109.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.115.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.116.fna	73.19	73.84	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.22.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.36.fna	70.11	70.33	0.02	0.01
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.38.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.41.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.42.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.43.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.45.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.49.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.51.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.54.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.55.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.6.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.74.fna	70.40	69.67	0.00	0.00
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.77.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.78.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.79.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.83.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.94.fna	33.86	73.30	0.75	0.00
POS2015-07-16-bin.100.fna	POS2015-07-16-bin.99.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.101.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.113.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.114.fna	79.96	79.96	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.115.fna	74.39	74.61	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.118.fna	74.37	74.37	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.119.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.122.fna	70.36	70.36	0.07	0.00
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.124.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.15.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.24.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.38.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.40.fna	77.48	76.27	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.42.fna	26.98	71.32	0.05	0.12
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.43.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.45.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.49.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.5.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.51.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.52.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.53.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.54.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.55.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.57.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.59.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.65.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.67.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.72.fna	71.42	73.63	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.73.fna	70.62	70.15	0.09	0.01
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.79.fna	83.79	82.01	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.80.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.85.fna	99.98	99.98	0.11	0.11
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.87.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.9.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.96.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-07-24-bin.97.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.10.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.100.fna	79.36	78.97	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.102.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.103.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.104.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.105.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.112.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.114.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.122.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.129.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.20.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.22.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.23.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.33.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.34.fna	70.12	69.16	0.74	0.00
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.53.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.59.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.60.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.67.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.81.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.84.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.9.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.92.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.94.fna	0	0	0	0
POS2015-07-16-bin.100.fna	POS2015-08-06-bin.99.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.102.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.109.fna	80.63	80.43	0.74	0.00
POS2015-07-16-bin.100.fna	coassembly-bin.111.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.13.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.132.fna	0	0	0	0
POS2015-07-16-bin.100.fna	coassembly-bin.133.fna	0	0	0	0
