bin,classification,completeness,contamination,genome_size,contigs,percent_gc
coassembly-bin.1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__;g__;s__,93.53,1.28,6611934,641,61.8
coassembly-bin.103,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Ga0074137;s__,100,0,4234810,39,49.2
coassembly-bin.107,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__,87.5,0.46,2771421,245,69.9
coassembly-bin.112,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__,95.71,0.98,3466990,75,35.2
coassembly-bin.118,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__UBA9464;s__,98.59,3.51,7529670,112,61.5
coassembly-bin.12,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__,98.1,0.74,4564354,91,62.7
coassembly-bin.120,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__;s__,95.83,0,9387086,540,70.1
coassembly-bin.13,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella_B;s__,100,6.25,3760507,45,41.9
coassembly-bin.132,d__Bacteria;p__Bdellovibrionota;c__UBA2394;o__UBA2394;f__UBA2394;g__;s__,100,0,2387685,21,41.4
coassembly-bin.146,d__Bacteria;p__Planctomycetota;c__UBA11346;o__UBA11346;f__UBA11346;g__UBA11346;s__,77.96,1.99,4283143,568,69.7
coassembly-bin.15,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__,97.02,0,6903877,97,60.3
coassembly-bin.150,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA961;g__UBA2353;s__,93.52,0,3598823,309,38.6
coassembly-bin.165,d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__,100,0,4310979,137,41.5
coassembly-bin.168,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,80.99,0.79,4508448,553,71.1
coassembly-bin.169,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__,98.65,1.41,4111698,56,66.1
coassembly-bin.17,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__OLB5;g__OLB5;s__,93.06,0.55,3651746,3,37.8
coassembly-bin.171,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__,98.39,2.86,6494282,365,64.5
coassembly-bin.172,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__,87.46,6.36,4797955,421,50
coassembly-bin.178,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,99.23,0.05,3019040,33,65.7
coassembly-bin.180,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,97.52,0.99,5907876,49,47.8
coassembly-bin.181,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__,99.05,0.71,3605177,35,37.3
coassembly-bin.182,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,99.01,0.5,5782244,64,50.4
coassembly-bin.185,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter,100,0,4627111,144,61.2
coassembly-bin.191,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,83.33,4.17,4905486,428,65.7
coassembly-bin.194,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Turneriellales;f__Turneriellaceae;g__Turneriella;s__,86.46,0,3784369,412,53.8
coassembly-bin.195,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,94.79,0,2123970,275,59.4
coassembly-bin.197,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,78.52,5.05,3161183,556,61.6
coassembly-bin.200,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__,91.67,0,3502872,323,68.8
coassembly-bin.21,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__UBA9464;s__,81,8.33,4857460,848,67.1
